row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_ISSUE,prob_REMEDIATION,prob_OTHER,prob_max,margin_top2,review_flag,auto_accept,model_version,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note
209,0001036968_2006_4,5,"71. projection of any evaluation of effectiveness to future periods is subject to the risk that controls may become inadequate because of changes in conditions, or that the degree of compliance with the policies or procedures may deteriorate.",<num> projection of any evaluation of effectiveness to future periods is subject to the risk that controls <month> become inadequate because of changes in conditions or that the degree of compliance with the policies or procedures <month> deteriorate,2006-12-31,1036968,,,250,0,0,OTHER,0,background,0,0,0,False,False,,0,1,trainval,ISSUE,0.6421863187771111,0.0748883962936839,0.2829252849292049,0.6421863187771111,0.3592610338479061,0,1,e5_logreg,OTHER,0,0,background,worker_batch_020,guideline_v1_1_issue_reaudit_round3,"Generic control-effectiveness framework/risk language, not a company-specific weakness or remediation."
210,0001036968_2006_4,10,"1) we did not maintain an effective control environment, specifically, the following material weaknesses were identified within the control environment. a) we did not maintain an effective control environment based on criteria established in internal control-integrated framework issued by coso.",<num> we did not maintain an effective control environment specifically the following material weaknesses were identified within the control environment a we did not maintain an effective control environment based on criteria established in internal control integrated framework issued by coso,2006-12-31,1036968,"71. projection of any evaluation of effectiveness to future periods is subject to the risk that controls may become inadequate because of changes in conditions, or that the degree of compliance with the policies or procedures may deteriorate.",<num> projection of any evaluation of effectiveness to future periods is subject to the risk that controls <month> become inadequate because of changes in conditions or that the degree of compliance with the policies or procedures <month> deteriorate,293,0,0,OTHER,0,background,0,0,0,False,False,,0,1,trainval,ISSUE,0.6839116127072807,0.0022093035342686,0.3138790837584506,0.6839116127072807,0.3700325289488301,0,1,e5_logreg,ISSUE,0,0,background,worker_batch_020,guideline_v1_1_issue_reaudit_round3,
211,0001036968_2006_4,11,"specifically, the financial reporting organization structure was not adequate to support the size, complexity or activities of the company.",specifically the financial reporting organization structure was not adequate to support the size complexity or activities of the company,2006-12-31,1036968,"1) we did not maintain an effective control environment, specifically, the following material weaknesses were identified within the control environment. a) we did not maintain an effective control environment based on criteria established in internal control-integrated framework issued by coso.",<num> we did not maintain an effective control environment specifically the following material weaknesses were identified within the control environment a we did not maintain an effective control environment based on criteria established in internal control integrated framework issued by coso,136,1,0,OTHER,0,background,0,0,0,False,False,,0,1,trainval,ISSUE,0.9325868661895442,0.0086031301548368,0.0588100036556188,0.9325868661895442,0.8737768625339254,0,1,e5_logreg,ISSUE,0,0,background,worker_batch_020,guideline_v1_1_issue_reaudit_round3,
212,0001036968_2006_4,13,"specifically, we lacked formalized reporting policies and procedures. c) we did not maintain effective monitoring controls and related segregation of duties over automated and manual transactions processes.",specifically we lacked formalized reporting policies and procedures c we did not maintain effective monitoring controls and related segregation of duties over automated and manual transactions processes,2006-12-31,1036968,"specifically, the financial reporting organization structure was not adequate to support the size, complexity or activities of the company.",specifically the financial reporting organization structure was not adequate to support the size complexity or activities of the company,202,0,0,OTHER,0,background,0,0,0,True,False,,0,1,trainval,ISSUE,0.955887818746334,0.0201396453836345,0.0239725358700312,0.955887818746334,0.9319152828763028,0,1,e5_logreg,ISSUE,0,0,background,worker_batch_020,guideline_v1_1_issue_reaudit_round3,
213,0001036968_2006_4,14,"specifically, we failed to implement processes to ensure periodic monitoring of our existing internal control activities over financial reporting to identify and assess significant risk that may impact financial statements and related disclosures.",specifically we failed to implement processes to ensure periodic monitoring of our existing internal control activities over financial reporting to identify and assess significant risk that <month> impact financial statements and related disclosures,2006-12-31,1036968,"specifically, we lacked formalized reporting policies and procedures. c) we did not maintain effective monitoring controls and related segregation of duties over automated and manual transactions processes.",specifically we lacked formalized reporting policies and procedures c we did not maintain effective monitoring controls and related segregation of duties over automated and manual transactions processes,249,0,0,OTHER,0,effect,0,0,0,False,False,,0,1,trainval,ISSUE,0.8487166414681875,0.0074720880225132,0.1438112705092993,0.8487166414681875,0.7049053709588882,0,1,e5_logreg,ISSUE,0,0,background,worker_batch_020,guideline_v1_1_issue_reaudit_round3,
214,0001036968_2006_4,15,"additionally, inadequate segregation of duties led to untimely identification and resolution of accounting and discourse matters and failure to perform timely and effective supervision and reviews.",additionally inadequate segregation of duties led to untimely identification and resolution of accounting and discourse matters and failure to perform timely and effective supervision and reviews,2006-12-31,1036968,"specifically, we failed to implement processes to ensure periodic monitoring of our existing internal control activities over financial reporting to identify and assess significant risk that may impact financial statements and related disclosures.",specifically we failed to implement processes to ensure periodic monitoring of our existing internal control activities over financial reporting to identify and assess significant risk that <month> impact financial statements and related disclosures,195,0,0,OTHER,0,background,0,0,0,False,False,,0,1,trainval,ISSUE,0.9623087484073533,0.0340004585075415,0.0036907930851052,0.9623087484073533,0.9283082898998116,0,1,e5_logreg,ISSUE,0,0,effect,worker_batch_020,guideline_v1_1_issue_reaudit_round3,
215,0001036968_2006_4,16,the above control deficiencies resulted in audit adjustments to our 2006 interim and annual consolidated financial statements.,the above control deficiencies resulted in audit adjustments to our <year> interim and annual consolidated financial statements,2006-12-31,1036968,"additionally, inadequate segregation of duties led to untimely identification and resolution of accounting and discourse matters and failure to perform timely and effective supervision and reviews.",additionally inadequate segregation of duties led to untimely identification and resolution of accounting and discourse matters and failure to perform timely and effective supervision and reviews,127,1,0,ISSUE,0,other,1,0,0,False,False,,0,0,trainval,ISSUE,0.9586559943225208,0.0098023561783816,0.0315416494990975,0.9586559943225208,0.9271143448234234,0,1,e5_logreg,ISSUE,0,0,effect,worker_batch_020,guideline_v1_1_issue_reaudit_round3,
216,0001036968_2006_4,17,"these control deficiencies affect substantially all financial statement accounts, which could result in a material misstatement to our interim or annual consolidated financial statements that would not be prevented or detected.",these control deficiencies affect substantially all financial statement accounts which could result in a material misstatement to our interim or annual consolidated financial statements that would not be prevented or detected,2006-12-31,1036968,the above control deficiencies resulted in audit adjustments to our 2006 interim and annual consolidated financial statements.,the above control deficiencies resulted in audit adjustments to our <year> interim and annual consolidated financial statements,225,0,1,ISSUE,0,other,1,0,0,False,False,,0,0,trainval,ISSUE,0.9424902251884876,0.0024839624839186,0.0550258123275937,0.9424902251884876,0.8874644128608938,0,1,e5_logreg,ISSUE,0,0,effect,worker_batch_020,guideline_v1_1_issue_reaudit_round3,
217,0001036968_2006_4,18,"2) the material weakness in our control environment contributed to the existence of the following control deficiencies, each of which is considered to be a material weakness. a) we did not maintain effective controls over our process to ensure the complete, accurate and timely preparation and review of our consolidated financial statements in accordance with gaap.",<num> the material weakness in our control environment contributed to the existence of the following control deficiencies each of which is considered to be a material weakness a we did not maintain effective controls over our process to ensure the complete accurate and timely preparation and review of our consolidated financial statements in accordance with gaap,2006-12-31,1036968,"these control deficiencies affect substantially all financial statement accounts, which could result in a material misstatement to our interim or annual consolidated financial statements that would not be prevented or detected.",these control deficiencies affect substantially all financial statement accounts which could result in a material misstatement to our interim or annual consolidated financial statements that would not be prevented or detected,364,0,0,OTHER,0,background,0,0,0,True,False,,0,1,trainval,ISSUE,0.9403898305671732,0.0031047289796804,0.0565054404531462,0.9403898305671732,0.883884390114027,0,1,e5_logreg,ISSUE,0,0,background,worker_batch_020,guideline_v1_1_issue_reaudit_round3,
218,0001036968_2006_4,19,"specifically, we did not have effective controls over the process for identifying, accumulating and reviewing all required supporting information to ensure the completeness, accuracy and timely preparation and review of our consolidated financial statements and disclosures.",specifically we did not have effective controls over the process for identifying accumulating and reviewing all required supporting information to ensure the completeness accuracy and timely preparation and review of our consolidated financial statements and disclosures,2006-12-31,1036968,"2) the material weakness in our control environment contributed to the existence of the following control deficiencies, each of which is considered to be a material weakness. a) we did not maintain effective controls over our process to ensure the complete, accurate and timely preparation and review of our consolidated financial statements in accordance with gaap.",<num> the material weakness in our control environment contributed to the existence of the following control deficiencies each of which is considered to be a material weakness a we did not maintain effective controls over our process to ensure the complete accurate and timely preparation and review of our consolidated financial statements in accordance with gaap,270,0,0,OTHER,0,background,0,0,0,False,False,,0,1,trainval,ISSUE,0.9677211012270488,0.0075852368126183,0.0246936619603329,0.9677211012270488,0.943027439266716,0,1,e5_logreg,ISSUE,0,0,background,worker_batch_020,guideline_v1_1_issue_reaudit_round3,
