row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_ISSUE,prob_REMEDIATION,prob_OTHER,prob_max,margin_top2,review_flag,auto_accept,model_version,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note,master_label_main,master_flag_mixed_ab,master_flag_needs_context,master_c_subtype,master_note,label_match,mixed_match,needs_context_match,c_subtype_match,full_match
23,0000935419_2024_4,25,the remediation actions include. strengthening and enhancing the review and documentation procedures in our controls over user access review; (ii) defining and communicating clear and concise program change management policy and procedures; (iii) enhancing the reporting requirements of accounting system audit logs; (vi) continuous improvement over our itgc controls related to third party applications; and (vi) enhanced quarterly reporting on the remediation measures to the audit committee of the board of directors.,the remediation actions include strengthening and enhancing the review and documentation procedures in our controls over user access review ii defining and communicating clear and concise program change management policy and procedures iii enhancing the reporting requirements of accounting system audit logs vi continuous improvement over our itgc controls related to third party applications and vi enhanced quarterly reporting on the remediation measures to the audit committee of the board of directors,2024-09-30,935419,"review of accounting for impairment of goodwill and intangible assets as most of the assumptions used in the valuation models employed in impairment analyses are subjective in nature, management will employ additional controls to validate these assumptions, including the engagement of a third-party consultant to assist developing valuation models and establishing sound and reasonable assumptions.",review of accounting for impairment of goodwill and intangible assets as most of the assumptions used in the valuation models employed in impairment analyses are subjective in nature management will employ additional controls to validate these assumptions including the engagement of a third party consultant to assist developing valuation models and establishing sound and reasonable assumptions,506,0,0,REMEDIATION,0,other,0,1,0,False,True,21.0,0,0,trainval,REMEDIATION,0.0077423243861293,0.7979543109518343,0.1943033646620363,0.7979543109518343,0.603650946289798,1,0,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_011,guideline_v1_1_remediation_reaudit_round3,,REMEDIATION,0,0,other,,True,True,True,True,True
96,0000849146_2016_4,9,the audit committee retained independent counsel to assist it in conducting the review.,the audit committee retained independent counsel to assist it in conducting the review,2016-06-30,849146,this independent review was initiated following internal reviews by company personnel and was further informed by the content of employee complaints.,this independent review was initiated following internal reviews by company personnel and was further informed by the content of employee complaints,86,1,0,OTHER,0,background,0,0,0,False,False,19.0,0,1,trainval,REMEDIATION,0.0085466564993673,0.6926848428354969,0.2987685006651357,0.6926848428354969,0.3939163421703612,1,0,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,,REMEDIATION,0,0,other,,True,True,True,True,True
133,0001376339_2020_4,30,"with continued oversight from the audit committee, the company's management has designed and commenced implementing changes in processes and controls to remediate the material weaknesses described above and has improved the company's internal control over financial reporting as follows.",with continued oversight from the audit committee the company s management has designed and commenced implementing changes in processes and controls to remediate the material weaknesses described above and has improved the company s internal control over financial reporting as follows,2020-12-31,1376339,"the material weaknesses cannot be considered completely remediated until the applicable controls have operated for a sufficient period of time and management has concluded, through testing, that these controls are operating effectively.",the material weaknesses cannot be considered completely remediated until the applicable controls have operated for a sufficient period of time and management has concluded through testing that these controls are operating effectively,285,0,0,REMEDIATION,0,other,0,1,0,False,True,10.0,0,0,trainval,REMEDIATION,0.0103231272323996,0.7208127615298384,0.268864111237762,0.7208127615298384,0.4519486502920763,1,0,e5_logreg,OTHER,0,1,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,Lead-in sentence ending with as follows.,OTHER,0,1,other,summary lead-in ending with as follows,True,True,True,True,True
141,0001376339_2020_4,38,"management conducted and will continue to schedule training sessions with the company's sales department to ensure that they are familiar with the company's current sales related policies and procedures, including those which are significant to the company's financial reporting objectives.",management conducted and will continue to schedule training sessions with the company s sales department to ensure that they are familiar with the company s current sales related policies and procedures including those which are significant to the company s financial reporting objectives,2020-12-31,1376339,the company also enhanced the onboarding training provided to newly hired salespeople to emphasize the importance of compliance with the various regulations specific to the life sciences industry to which the company is subject.,the company also enhanced the onboarding training provided to newly hired salespeople to emphasize the importance of compliance with the various regulations specific to the life sciences industry to which the company is subject,288,0,0,REMEDIATION,0,other,0,1,0,False,False,10.0,0,0,trainval,REMEDIATION,0.0104142473650925,0.8434290670106691,0.1461566856242381,0.8434290670106691,0.697272381386431,0,1,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,,REMEDIATION,0,0,other,,True,True,True,True,True
150,0001376339_2020_4,53,"these internal control deficiencies identified included (but were not limited to) the following. improvements to the financial close and reporting process, accounting for satisfaction of performance obligations related to revenue recognition, calculation of inventory costing and related accuracy of inventory, accounting for income taxes, 81 accurate calculation of stock-based compensation expense, timely review of consignment inventory and the development of quality estimates related to accrued expenses.",these internal control deficiencies identified included but were not limited to the following improvements to the financial close and reporting process accounting for satisfaction of performance obligations related to revenue recognition calculation of inventory costing and related accuracy of inventory accounting for income taxes <num> accurate calculation of stock based compensation expense timely review of consignment inventory and the development of quality estimates related to accrued expenses,2020-12-31,1376339,this review included the identification of internal control deficiencies and the development of remediation plans for each identified deficiency.,this review included the identification of internal control deficiencies and the development of remediation plans for each identified deficiency,503,0,1,REMEDIATION,0,other,0,1,0,False,False,10.0,0,0,trainval,REMEDIATION,0.4377012694646632,0.537727186980837,0.0245715435544997,0.537727186980837,0.1000259175161737,1,0,e5_logreg,OTHER,1,1,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,Mixes deficiency intro with a following list that is not standalone.,REMEDIATION,0,0,other,OCR-merged improvement list; action list dominates,False,False,False,True,False
248,0001137861_2006_4,12,"additionally, the method for capturing the proper cost basis of these assets has been revised to appropriately calculate depreciation expense in the future.",additionally the method for capturing the proper cost basis of these assets has been revised to appropriately calculate depreciation expense in the future,2006-12-31,1137861,"remediation of controls over the calculation of depreciation expense in response to the material weakness noted above, we performed an in-depth review of the company’s policies and procedures for determining depreciation expense and adjusted the calculation to include the correct cost basis for the surgical instruments.",remediation of controls over the calculation of depreciation expense in response to the material weakness noted above we performed an in depth review of the company s policies and procedures for determining depreciation expense and adjusted the calculation to include the correct cost basis for the surgical instruments,154,0,0,REMEDIATION,0,other,0,1,0,False,False,9.0,0,0,trainval,REMEDIATION,0.1634497645334421,0.7176671155410941,0.1188831199254637,0.7176671155410941,0.5542173510076519,1,0,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_015,guideline_v1_1_remediation_reaudit_round3,,REMEDIATION,0,0,other,,True,True,True,True,True
266,0000922487_2007_4,20,the company hired a chief credit officer.,the company hired a chief credit officer,2007-12-31,922487,this division is responsible for the management of impaired loans; .,this division is responsible for the management of impaired loans,40,1,0,REMEDIATION,0,other,0,1,0,False,False,4.0,0,0,trainval,REMEDIATION,0.0350074547511216,0.8044858881548332,0.1605066570940452,0.8044858881548332,0.643979231060788,0,1,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_009,guideline_v1_1_remediation_reaudit_round3,,REMEDIATION,0,0,other,,True,True,True,True,True
325,0001289945_2007_4,14,"in 2008, the company has moved from a combination of an employee and third party internal audit function to an outsourced third party internal audit function.",in <year> the company has moved from a combination of an employee and third party internal audit function to an outsourced third party internal audit function,2007-12-31,1289945,"changes in internal control over financial reporting there was no change in the company’s internal control over financial reporting that occurred during the company’s most recently completed fiscal quarter except as noted above under management’s remediation initiatives that has materially affected, or is reasonably likely to materially affect, the company’s internal control over financial reporting.",changes in internal control over financial reporting there was no change in the company s internal control over financial reporting that occurred during the company s most recently completed fiscal quarter except as noted above under management s remediation initiatives that has materially affected or is reasonably likely to materially affect the company s internal control over financial reporting,158,0,0,REMEDIATION,0,other,0,1,0,False,False,12.0,0,0,trainval,REMEDIATION,0.0526975699897965,0.7313348506538319,0.2159675793563716,0.7313348506538319,0.5153672712974603,1,0,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_017,guideline_v1_1_remediation_reaudit_round3,,REMEDIATION,0,0,other,,True,True,True,True,True
342,0000317477_2010_4,32,"(1) hiring additional accounting and operations personnel and engaging outside contractors with technical accounting expertise, as needed, and reorganizing the accounting and finance department to ensure that accounting personnel with adequate experience, skills and knowledge relating to complex, non-routine transactions are directly involved in the review and accounting evaluation of our complex, non-routine transactions;.",<num> hiring additional accounting and operations personnel and engaging outside contractors with technical accounting expertise as needed and reorganizing the accounting and finance department to ensure that accounting personnel with adequate experience skills and knowledge relating to complex non routine transactions are directly involved in the review and accounting evaluation of our complex non routine transactions,2010-09-30,317477,all purchases are reviewed by management.,all purchases are reviewed by management,422,0,0,OTHER,0,background,0,0,0,False,False,35.0,0,1,test,REMEDIATION,0.0358010538543295,0.9330649100999856,0.0311340360456848,0.9330649100999856,0.8972638562456561,0,1,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_004,guideline_v1_1_remediation_reaudit_round3,,REMEDIATION,0,0,other,,True,True,True,True,True
357,0000914712_2018_4,18,"as necessary, outside legal and/or accounting advice will be obtained.",as necessary outside legal and or accounting advice will be obtained,2018-07-31,914712,"regular meetings with accounting staff and executive level officers involved and familiar with accounting issues related to complex, non-routine transactions will be held.",regular meetings with accounting staff and executive level officers involved and familiar with accounting issues related to complex non routine transactions will be held,68,1,0,REMEDIATION,0,other,0,1,0,False,False,15.0,0,0,trainval,REMEDIATION,0.0319932710730543,0.7681456838132532,0.1998610451136924,0.7681456838132532,0.5682846386995608,1,0,e5_logreg,REMEDIATION,0,0,other,codex_remediation_worker_batch_009,guideline_v1_1_remediation_reaudit_round3,,REMEDIATION,0,0,other,,True,True,True,True,True
