row_id,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note
8,REMEDIATION,0,0,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,
16,OTHER,0,0,background,codex_remediation_worker_batch_011,guideline_v1_1_remediation_reaudit_round3,Background on outsourced IT service providers
21,REMEDIATION,0,0,other,codex_remediation_worker_batch_011,guideline_v1_1_remediation_reaudit_round3,
22,REMEDIATION,0,0,other,codex_remediation_worker_batch_011,guideline_v1_1_remediation_reaudit_round3,
23,REMEDIATION,0,0,other,codex_remediation_worker_batch_011,guideline_v1_1_remediation_reaudit_round3,
24,OTHER,0,0,effect,codex_remediation_worker_batch_011,guideline_v1_1_remediation_reaudit_round3,Effect-only belief about remediation success
43,OTHER,0,0,background,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,Generic internal-control framework language.
52,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
53,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
54,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
55,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
56,REMEDIATION,0,0,other,codex_remediation_worker_batch_008,guideline_v1_1_remediation_reaudit_round3,
72,OTHER,0,1,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,fragment only and not meaningful standalone
75,REMEDIATION,0,0,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,
76,OTHER,0,1,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,lead in and truncated action that continues in the next row
77,OTHER,0,1,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,continuation fragment combining prior expertise phrase with a hiring item
78,OTHER,0,1,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,truncated training fragment without standalone meaning
79,OTHER,0,1,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,truncated sentence that continues in the next row
80,OTHER,0,1,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,continuation fragment missing the leading subject and verb context
88,REMEDIATION,0,0,other,codex_remediation_worker_batch_002,guideline_v1_1_remediation_reaudit_round3,
89,REMEDIATION,0,0,other,codex_remediation_worker_batch_002,guideline_v1_1_remediation_reaudit_round3,
95,OTHER,0,0,background,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,"investigation background, not a remediation control change"
96,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
102,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
105,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
106,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
107,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
108,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
109,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
110,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
111,REMEDIATION,0,0,other,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,
112,OTHER,0,0,status,codex_remediation_worker_batch_007,guideline_v1_1_remediation_reaudit_round3,oversight and ongoing review status rather than a remediation action
131,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
133,OTHER,0,1,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,Lead-in sentence ending with as follows.
137,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
138,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
139,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
140,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
141,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
142,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
143,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
144,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
145,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
146,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
147,OTHER,0,1,background,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,Cross-reference only; no standalone remediation content.
148,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
149,OTHER,0,1,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,References prior review and summarizes review scope.
150,OTHER,1,1,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,Mixes deficiency intro with a following list that is not standalone.
151,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
152,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
153,REMEDIATION,0,0,other,codex_remediation_worker_batch_019,guideline_v1_1_remediation_reaudit_round3,
154,REMEDIATION,0,0,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,
155,REMEDIATION,0,0,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,
156,REMEDIATION,0,0,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,
157,OTHER,0,1,effect,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,objective is unspecified and the sentence reports how it was achieved
162,REMEDIATION,0,0,other,codex_remediation_worker_batch_002,guideline_v1_1_remediation_reaudit_round3,
163,OTHER,0,0,effect,codex_remediation_worker_batch_002,guideline_v1_1_remediation_reaudit_round3,Expected effect once implemented; no action stated.
164,REMEDIATION,0,0,other,codex_remediation_worker_batch_002,guideline_v1_1_remediation_reaudit_round3,
172,REMEDIATION,0,0,other,codex_remediation_worker_batch_004,guideline_v1_1_remediation_reaudit_round3,
175,REMEDIATION,0,0,other,codex_remediation_worker_batch_004,guideline_v1_1_remediation_reaudit_round3,
176,REMEDIATION,0,0,other,codex_remediation_worker_batch_004,guideline_v1_1_remediation_reaudit_round3,
186,REMEDIATION,0,0,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,
187,REMEDIATION,0,0,other,codex_remediation_worker_batch_020,guideline_v1_1_remediation_reaudit_round3,
198,OTHER,1,0,other,codex_remediation_worker_batch_006,guideline_v1_1_remediation_reaudit_round3,Contains both remediation action and weakness statement.
200,OTHER,1,0,other,codex_remediation_worker_batch_006,guideline_v1_1_remediation_reaudit_round3,Contains both control actions and a weakness statement.
204,ISSUE,0,0,other,codex_remediation_worker_batch_002,guideline_v1_1_remediation_reaudit_round3,States the control did not operate effectively.
248,REMEDIATION,0,0,other,codex_remediation_worker_batch_015,guideline_v1_1_remediation_reaudit_round3,
251,OTHER,0,0,background,codex_remediation_worker_batch_009,guideline_v1_1_remediation_reaudit_round3,generic disclosure controls background
264,REMEDIATION,0,0,other,codex_remediation_worker_batch_009,guideline_v1_1_remediation_reaudit_round3,
265,OTHER,0,1,background,codex_remediation_worker_batch_009,guideline_v1_1_remediation_reaudit_round3,role description depends on prior sentence
266,REMEDIATION,0,0,other,codex_remediation_worker_batch_009,guideline_v1_1_remediation_reaudit_round3,
267,OTHER,0,1,background,codex_remediation_worker_batch_009,guideline_v1_1_remediation_reaudit_round3,position description depends on prior sentence
268,REMEDIATION,0,0,other,codex_remediation_worker_batch_009,guideline_v1_1_remediation_reaudit_round3,
269,REMEDIATION,0,0,other,codex_remediation_worker_batch_009,guideline_v1_1_remediation_reaudit_round3,
270,REMEDIATION,0,0,other,codex_remediation_worker_batch_009,guideline_v1_1_remediation_reaudit_round3,
274,REMEDIATION,0,0,other,codex_remediation_worker_batch_010,guideline_v1_1_remediation_reaudit_round3,
